t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
36600,111998,105250,0.0019647,0,0.001391208,0.000308126,0.000148868,0,0.002298579,0.000124383,0.265352545,0.009239
37200,111997,105250,0.00196003,0,0.00139795,0.000308163,0.000144443,0,0.002301127,0.000124038,0.273413126,0.009239
37800,111995,105249,0.00195562,0,0.001404505,0.0003082,0.000140041,0,0.00230363,0.000123688,0.281429595,0.009239
38400,111994,105249,0.0019522,0,0.001410354,0.000308238,0.000135776,0,0.002305928,0.000123318,0.289395027,0.00924
39000,111992,105249,0.00194774,0,0.001417072,0.000308278,0.000131671,0,0.00230804,0.000122953,0.297309411,0.00924
39600,111990,105248,0.00194362,0,0.001423578,0.000308319,0.000127688,0,0.002309997,0.000122586,0.305163834,0.009241
40200,111988,105248,0.00193906,0,0.001430416,0.000308361,0.00012367,0,0.002311974,0.000122218,0.312947624,0.009241
40800,111986,105247,0.00193461,0,0.001437239,0.000308404,0.000119619,0,0.002314003,0.000121818,0.320656453,0.009241
41400,111984,105247,0.00192981,0,0.001444375,0.00030845,0.000115725,0,0.002315845,0.000121394,0.328284042,0.009242
42000,111983,105246,0.00192509,0,0.00145145,0.000308498,0.000112405,0,0.002317201,0.000120964,0.33582198,0.009242
42600,111981,105245,0.00192033,0,0.001458598,0.000308547,0.000108879,0,0.002318697,0.000120532,0.343269584,0.009243
43200,111980,105243,0.0019153,0,0.001466012,0.000308591,0.000105277,0,0.00232019,0.000120048,0.350620664,0.009243
43800,111978,105243,0.00191055,0,0.001473207,0.00030862,0.000102012,0,0.0023214,0.000119505,0.357872812,0.009243
44400,111976,105243,0.00190583,0,0.001480303,0.00030865,9.92E-05,0,0.002322104,0.000118929,0.365021906,0.009244
45000,111975,105243,0.00190097,0,0.001487504,0.000308682,9.64E-05,0,0.002322801,0.000118353,0.372061734,0.009244
45600,111973,105244,0.00189605,0,0.001494728,0.000308713,9.36E-05,0,0.002323496,0.000117779,0.378992572,0.009245
46200,111972,105244,0.00189198,0,0.001501223,0.000308748,9.09E-05,0,0.00232423,0.000117209,0.38581931,0.009245
